Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,4180.000000,4200.000000,4030.000000,4100.000000,3955.327393,365103200
2022-01-11,4120.000000,4200.000000,4070.000000,4180.000000,4032.504395,259180700
2022-01-18,4200.000000,4330.000000,4160.000000,4300.000000,4148.270020,446879900
2022-01-25,4310.000000,4400.000000,4190.000000,4190.000000,4042.151611,493031500
2022-02-01,4170.000000,4290.000000,4150.000000,4290.000000,4138.623047,391232900
2022-02-08,4280.000000,4550.000000,4210.000000,4400.000000,4244.741699,635555700
2022-02-15,4400.000000,4460.000000,4340.000000,4370.000000,4215.800293,368391600
2022-02-22,4320.000000,4370.000000,4200.000000,4340.000000,4186.858887,552463800
2022-03-01,4640.000000,4650.000000,4270.000000,4510.000000,4350.859863,691311700
2022-03-08,4600.000000,4700.000000,4380.000000,4580.000000,4418.390137,820081600
2022-03-15,4630.000000,4660.000000,4450.000000,4550.000000,4389.448730,877298200
2022-03-22,4550.000000,4600.000000,4480.000000,4600.000000,4437.684570,540762500
2022-03-29,4600.000000,4640.000000,4490.000000,4540.000000,4379.801758,494850200
2022-04-05,4550.000000,4610.000000,4420.000000,4590.000000,4428.037109,556958900
2022-04-12,4620.000000,4730.000000,4580.000000,4710.000000,4543.802734,618325600
2022-04-19,4740.000000,4750.000000,4580.000000,4710.000000,4543.802734,471549600
2022-04-26,4680.000000,4850.000000,4620.000000,4620.000000,4456.978516,420916200
2022-05-03,4560.000000,4560.000000,4300.000000,4310.000000,4157.917480,343682000
2022-05-10,4120.000000,4480.000000,4120.000000,4260.000000,4109.681641,860249400
2022-05-17,4250.000000,4290.000000,4070.000000,4110.000000,3964.974609,807191200
2022-05-24,4120.000000,4340.000000,4120.000000,4250.000000,4100.034668,612416700
2022-05-31,4270.000000,4330.000000,4230.000000,4310.000000,4157.917480,469620300
